"","day","month","year","deaths","date"
"517",12,5,"2016",85,2016-05-12
"518",12,5,"2017",78,2017-05-12
"519",13,5,"2015",66,2015-05-13
"520",13,5,"2016",69,2016-05-13
"521",13,5,"2017",86,2017-05-13
"522",14,5,"2015",74,2015-05-14
"523",14,5,"2016",62,2016-05-14
"524",14,5,"2017",81,2017-05-14
"525",15,5,"2015",81,2015-05-15
"526",15,5,"2016",76,2016-05-15
"527",15,5,"2017",85,2017-05-15
"528",16,5,"2015",71,2015-05-16
"529",16,5,"2016",67,2016-05-16
"530",16,5,"2017",94,2017-05-16
"531",17,5,"2015",78,2015-05-17
"532",17,5,"2016",67,2016-05-17
"533",17,5,"2017",85,2017-05-17
"534",18,5,"2015",70,2015-05-18
"535",18,5,"2016",83,2016-05-18
"536",18,5,"2017",74,2017-05-18
"537",19,5,"2015",71,2015-05-19
"538",19,5,"2016",72,2016-05-19
"539",19,5,"2017",77,2017-05-19
"540",20,5,"2015",78,2015-05-20
"541",20,5,"2016",89,2016-05-20
"542",20,5,"2017",70,2017-05-20
"543",21,5,"2015",88,2015-05-21
"544",21,5,"2016",78,2016-05-21
"545",21,5,"2017",83,2017-05-21
"546",22,5,"2015",64,2015-05-22
"547",22,5,"2016",81,2016-05-22
"548",22,5,"2017",84,2017-05-22
"549",23,5,"2015",65,2015-05-23
"550",23,5,"2016",87,2016-05-23
"551",23,5,"2017",68,2017-05-23
"552",24,5,"2015",87,2015-05-24
"553",24,5,"2016",85,2016-05-24
"554",24,5,"2017",81,2017-05-24
"555",25,5,"2015",57,2015-05-25
"556",25,5,"2016",82,2016-05-25
"557",25,5,"2017",83,2017-05-25
"558",26,5,"2015",90,2015-05-26
"559",26,5,"2016",67,2016-05-26
"560",26,5,"2017",91,2017-05-26
"561",27,5,"2015",65,2015-05-27
"562",27,5,"2016",80,2016-05-27
"563",27,5,"2017",88,2017-05-27
"564",28,5,"2015",64,2015-05-28
"565",28,5,"2016",69,2016-05-28
"566",28,5,"2017",62,2017-05-28
"567",29,5,"2015",79,2015-05-29
"568",29,5,"2016",77,2016-05-29
"569",29,5,"2017",72,2017-05-29
"570",30,5,"2015",66,2015-05-30
"571",30,5,"2016",69,2016-05-30
"572",30,5,"2017",71,2017-05-30
"573",31,5,"2015",84,2015-05-31
"574",31,5,"2016",76,2016-05-31
"575",31,5,"2017",78,2017-05-31
"576",1,6,"2015",68,2015-06-01
"577",1,6,"2016",74,2016-06-01
"578",1,6,"2017",75,2017-06-01
"579",2,6,"2015",76,2015-06-02
"580",2,6,"2016",71,2016-06-02
"581",2,6,"2017",75,2017-06-02
"582",3,6,"2015",62,2015-06-03
"583",3,6,"2016",70,2016-06-03
"584",3,6,"2017",82,2017-06-03
"585",4,6,"2015",65,2015-06-04
"586",4,6,"2016",102,2016-06-04
"587",4,6,"2017",83,2017-06-04
"588",5,6,"2015",82,2015-06-05
"589",5,6,"2016",80,2016-06-05
"590",5,6,"2017",78,2017-06-05
"591",6,6,"2015",79,2015-06-06
"592",6,6,"2016",84,2016-06-06
"593",6,6,"2017",70,2017-06-06
"594",7,6,"2015",59,2015-06-07
"595",7,6,"2016",74,2016-06-07
"596",7,6,"2017",96,2017-06-07
"597",8,6,"2015",65,2015-06-08
"598",8,6,"2016",77,2016-06-08
"599",8,6,"2017",65,2017-06-08
"600",9,6,"2015",66,2015-06-09
"601",9,6,"2016",76,2016-06-09
"602",9,6,"2017",61,2017-06-09
"603",10,6,"2015",80,2015-06-10
"604",10,6,"2016",77,2016-06-10
"605",10,6,"2017",72,2017-06-10
"606",11,6,"2015",58,2015-06-11
"607",11,6,"2016",97,2016-06-11
"608",11,6,"2017",79,2017-06-11
"609",12,6,"2015",74,2015-06-12
"610",12,6,"2016",70,2016-06-12
"611",12,6,"2017",95,2017-06-12
"612",13,6,"2015",76,2015-06-13
"613",13,6,"2016",81,2016-06-13
"614",13,6,"2017",80,2017-06-13
"615",14,6,"2015",61,2015-06-14
"616",14,6,"2016",90,2016-06-14
"617",14,6,"2017",82,2017-06-14
"618",15,6,"2015",78,2015-06-15
"619",15,6,"2016",66,2016-06-15
"620",15,6,"2017",77,2017-06-15
"621",16,6,"2015",69,2015-06-16
"622",16,6,"2016",93,2016-06-16
"623",16,6,"2017",97,2017-06-16
"624",17,6,"2015",87,2015-06-17
"625",17,6,"2016",68,2016-06-17
"626",17,6,"2017",80,2017-06-17
"627",18,6,"2015",71,2015-06-18
"628",18,6,"2016",90,2016-06-18
"629",18,6,"2017",74,2017-06-18
"630",19,6,"2015",81,2015-06-19
"631",19,6,"2016",77,2016-06-19
