incident_id,offense_id,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT
20226016438,20226016438299900,2999,1,criminal-mischief-mtr-veh,public-disorder,8/29/2022 12:00:00 AM,8/29/2022 8:30:00 AM,8/29/2022 9:03:00 AM,2525 S DAYTON WAY,3175792,1669748,-104.8755129,39.6705972,3,323,hampden,1,0,1
2019696731,2019696731230500,2305,0,theft-items-from-vehicle,theft-from-motor-vehicle,10/29/2019 4:30:00 AM,10/29/2019 4:30:00 AM,11/1/2019 12:30:00 PM,4500 BLK N KINGSTON ST,3180105,1709481,-104.8591962,39.7795887,5,511,montbello,1,0,1
2022474501,2022474501240400,2404,0,theft-of-motor-vehicle,auto-theft,9/14/2022 12:01:00 AM,,9/14/2022 8:52:00 AM,429 E 14TH AVE,3145833,1694370,-104.981438,39.7387071,6,623,capitol-hill,1,0,1
2021393678,2021393678230400,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,7/5/2021 5:00:00 PM,7/5/2021 6:30:00 PM,7/10/2021 6:23:00 PM,E 9TH AVE / N RACE ST,3150847,1691405,-104.9636716,39.7304877,6,622,cheesman-park,1,0,1
2018563690,2018563690280400,2804,0,outside-steal-recovered-veh,all-other-crimes,8/18/2018 12:49:00 PM,,8/18/2018 2:49:00 PM,W 9TH AVE / N TENNYSON ST,3128288,1691546,-105.0438749,39.731213,1,122,villa-park,1,0,1
2017470136,2017470136240400,2404,0,theft-of-motor-vehicle,auto-theft,7/16/2017 1:00:00 AM,7/16/2017 1:00:00 PM,7/16/2017 7:15:00 PM,7615 E QUINCY AVE,3168307,1658510,-104.9023646,39.6398844,3,324,hampden-south,1,0,1
2020234363,2020234363521300,5213,0,weapon-unlawful-discharge-of,all-other-crimes,4/18/2020 1:33:00 PM,,4/18/2020 3:06:00 PM,2600 BLK N MOLINE ST,2.5,2.5,-115.4640559,34.6382402,5,512,,1,0,1
2017782750,2017782750220200,2202,0,burglary-residence-by-force,burglary,11/21/2017 9:00:00 AM,11/21/2017 6:30:00 PM,11/21/2017 6:37:00 PM,1200 N IVANHOE ST,3162743,1693225,-104.9213359,39.7352835,2,222,montclair,1,0,1
20176010694,20176010694230400,2304,0,theft-parts-from-vehicle,theft-from-motor-vehicle,11/13/2017 8:50:00 AM,11/13/2017 8:50:00 AM,11/13/2017 9:59:00 AM,3527 N YORK ST,3151776,1704471,-104.9600926,39.7663409,2,211,cole,1,0,1
2020340455,2020340455131600,1316,0,threats-to-injure,public-disorder,6/2/2020 10:20:00 AM,,6/2/2020 11:47:00 AM,1700 BLK BLAKE ST,3141368,1699295,-104.9972177,39.7522959,6,612,union-station,1,0,2
2019333803,2019333803120800,1208,0,robbery-residence,robbery,5/28/2019 11:00:00 PM,5/28/2019 11:30:00 PM,5/28/2019 11:57:00 PM,1443 N ONEIDA ST,3166327,1694793,-104.9085564,39.7395246,2,223,montclair,1,0,1
2020609931,2020609931240400,2404,0,theft-of-motor-vehicle,auto-theft,10/5/2020 1:52:00 PM,10/10/2020 12:00:00 PM,10/12/2020 1:52:00 PM,2777 S HAVANA ST,3178080,1667989,-104.8674287,39.6657249,3,323,hampden,1,0,1
